digi,char
14,a
64,b
40,a
60,b
80,b
28,b
69,b
25,a
77,c
58,a
61,b
93,b
62,b
6,b
81,c
67,c
89,c
29,c
86,a
43,b
23,c
45,a
97,c
56,b
21,a
95,c
13,c
30,a
51,a
17,b
76,c
54,b
84,b
,b
79,c
41,c
12,c
50,a
68,a
72,b
82,c
98,c
48,c
66,a
7,a
99,a
53,b
42,b
31,b
83,b
71,a
16,b
96,a
59,b
46,b
22,b
33,b
55,a
91,c
34,a
65,b
5,b
75,b
94,b
9,c
39,c
3,c
15,c
8,a
78,b
73,c
70,a
37,c
11,b
19,a
63,c
27,c
18,a
88,a
87,b
90,c
10,b
1,b
85,b
49,c
2,c
47,c
35,a
26,a
38,b
36,c
74,c
32,c
4,a
92,a
20,a
57,b
24,b
52,b
10,b
